Stan	Kod	Plik	Wiersz	Kolumna	Projekt	Repozytorium	Zawierająca składowa	Zawierający typ	Rodzaj
	public static void AddAddLaneSelectors(IRenderBin mesh, InGameMenu game) => AddAddLaneSelectors(mesh, game.World.Nodes.data, game.configuration.LaneSpec.Width);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\InGame\SelectionUtils.cs	13	48	TranSimCS		AddAddLaneSelectors	SelectionUtils	
	public static void AddTagsToLastTriangles(this IRenderBin rb, int count, object value) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	181	56	TranSimCS		AddTagsToLastTriangles	RenderUtil	
	public static void CreateAddLanes(RoadNode nodeEnd, IRenderBin mesh, float size = 1, Color? color = null, float voffset = 0.2f) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\RoadRenderer.cs	27	61	TranSimCS		CreateAddLanes	RoadRenderer	
	public static void DrawBezierStrip(Bezier3 lbound, Bezier3 rbound, IRenderBin renderer, Color color) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\RoadRenderer.cs	158	76	TranSimCS		DrawBezierStrip	RoadRenderer	
	public static void DrawCenteredPoly(this IRenderBin rb, VertexPositionColorTexture center, params VertexPositionColorTexture[] perimeter) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	133	50	TranSimCS		DrawCenteredPoly	RenderUtil	
	public static void DrawClosedStrip(this IRenderBin rb, VertexPositionColorTexture[] l, VertexPositionColorTexture[] r) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	117	49	TranSimCS		DrawClosedStrip	RenderUtil	
	public static void DrawClosedStrip(this IRenderBin rb, VertexPositionColorTexture[] lr) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	123	49	TranSimCS		DrawClosedStrip	RenderUtil	
	public static void DrawDebugFence(IRenderBin mesh, ISpline<Vector3> spline, Vector3 height, Color color, int accuracy = 17) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Render\RenderPatch.cs	16	43	TranSimCS		DrawDebugFence	RenderPatch	
	public static void DrawEarClipping(IRenderBin mesh, params int[] indices) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Render\EarClipping.cs	79	44	TranSimCS		DrawEarClipping	EarClipping	
	public static void DrawEarClipping(IRenderBin mesh, params VertexPositionColorTexture[] verts) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Render\EarClipping.cs	83	44	TranSimCS		DrawEarClipping	EarClipping	
	public static void DrawGrid(this IRenderBin rb, VertexPositionColorTexture[,] vertices) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	153	42	TranSimCS		DrawGrid	RenderUtil	
	public static void DrawLine(this IRenderBin rb, Vector3 start, Vector3 end, Vector3 normal, Color c, float width = 0.2f) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	99	42	TranSimCS		DrawLine	RenderUtil	
	public static void DrawParallelogram(this IRenderBin rb, Vector3 origin, Vector3 plusX, Vector3 plusY, Color c) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	54	51	TranSimCS		DrawParallelogram	RenderUtil	
	public static void DrawParallelogram(this IRenderBin rb, Vector3 origin, Vector3 plusX, Vector3 plusY, Color c, RectangleF rect) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	57	51	TranSimCS		DrawParallelogram	RenderUtil	
	public static void DrawQuad(this IRenderBin rb, int a, int b, int c, int d) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	49	42	TranSimCS		DrawQuad	RenderUtil	
	public static void DrawQuad(this IRenderBin rb, Quad q) => rb.DrawQuad(q.a, q.b, q.c, q.d);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	48	42	TranSimCS		DrawQuad	RenderUtil	
	public static void DrawQuad(this IRenderBin rb, Vector3 a, Vector3 b, Vector3 c, Vector3 d, Color color) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	45	42	TranSimCS		DrawQuad	RenderUtil	
	public static void DrawQuad(this IRenderBin rb, Vector3 a, Vector3 b, Vector3 c, Vector3 d, Color color, RectangleF rect) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	33	42	TranSimCS		DrawQuad	RenderUtil	
	public static void DrawQuad(this IRenderBin rb, VertexPositionColorTexture a, VertexPositionColorTexture b, VertexPositionColorTexture c, VertexPositionColorTexture d) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	23	42	TranSimCS		DrawQuad	RenderUtil	
	public static void DrawStrip(this IRenderBin rb, VertexPositionColorTexture[] l, VertexPositionColorTexture[] r)	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	130	43	TranSimCS		DrawStrip	RenderUtil	
	public static void DrawStrip(this IRenderBin rb, VertexPositionColorTexture[] vertices) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	80	43	TranSimCS		DrawStrip	RenderUtil	
	public static void DrawTriangle(this IRenderBin rb, VertexPositionColorTexture a, VertexPositionColorTexture b, VertexPositionColorTexture c) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\RenderUtil.cs	67	46	TranSimCS		DrawTriangle	RenderUtil	
	public static void GenerateEndCap(Vector3 ul, Vector3 ur, Vector3 dr, Vector3 dl, float width, float height, float expand, IRenderBin mesh) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\Strip\SegmentRenderer.cs	208	132	TranSimCS		GenerateEndCap	SegmentRenderer	
	public static void GenerateIntersectionStrip(IRenderBin mesh, RoadNodeEnd start, RoadNodeEnd end, int accuracy = 17, float voffset = 0f) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\RoadRenderer.cs	282	54	TranSimCS		GenerateIntersectionStrip	RoadRenderer	
	public static void GenerateLaneRangeMesh(LaneRange range, IRenderBin renderer, Color color, float voffset = 0.3f, object? tag = null) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\RoadRenderer.cs	96	67	TranSimCS		GenerateLaneRangeMesh	RoadRenderer	
	public static void GenerateSubrangeVerts(IRenderBin mesh, RoadNodeEnd[] nodes, int discriminant, int accuracy = 17, float voffset = 0f) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Roads\RoadRenderer.cs	211	50	TranSimCS		GenerateSubrangeVerts	RoadRenderer	
	public static void OutputTriangle(IRenderBin mesh, DLNode<(int, VertexPositionColorTexture)> node) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Render\EarClipping.cs	143	43	TranSimCS		OutputTriangle	EarClipping	
	public static void Stats(this IRenderBin mesh, Logger log) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\MeshUtil.cs	12	39	TranSimCS		Stats	MeshUtil	
	public VertexNode(IRenderBin mesh, VertexPositionColorTexture position) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Render\EarClipping.cs	70	27	TranSimCS		.ctor	VertexNode	
	public void CreateMesh(IRenderBin renderBin) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Menus\Gizmo\RoadGizmos.cs	61	32	TranSimCS		CreateMesh	AzimuthGizmo	
	public void TransformInPlace(IRenderBin mesh) => mesh.Vertices.TransformInPlace(Transform);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Transform3.cs	68	38	TranSimCS		TransformInPlace	Transform3	
	public void TransformOutOfPlace(IRenderBin src, IRenderBin dst) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Transform3.cs	56	41	TranSimCS		TransformOutOfPlace	Transform3	
	public void TransformOutOfPlace(IRenderBin src, IRenderBin dst) {	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\Transform3.cs	56	57	TranSimCS		TransformOutOfPlace	Transform3	
	void IRenderBin.AddIndex(int index) => AddIndex(index);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\Mesh.cs	37	14	TranSimCS		TranSimCS.Model.IRenderBin.AddIndex	Mesh	Zakwalifikowane
	void IRenderBin.AddIndices(int[] indices) => AddIndices(indices);	C:\Users\Oskar\SynologyDrive\Programowanie\TranSimCS\TranSimCS\ModelOld\Mesh.cs	43	14	TranSimCS		TranSimCS.Model.IRenderBin.AddIndices	Mesh	Zakwalifikowane
